#,url,status,elapsed_s,n_links
1,https://www.uaa.edu.py/noticias/eventos,404,0.6,69
2,https://www.uaa.edu.py/responsabilidad-social-universidad-inclusiva,200,0.82,68
3,https://www.uaa.edu.py/relaciones-internacionales,200,1.38,67
4,https://www.uaa.edu.py/facultades/ciencias-tecnologias,200,1.21,74
5,https://www.uaa.edu.py/facultades/ciencias-salud,200,1.25,73
6,https://www.uaa.edu.py/facultades/ciencias-educacion-comunicacion,200,1.33,76
7,https://www.uaa.edu.py/facultades/ciencias-juridicas-politicas-sociales,200,0.94,71
8,https://www.uaa.edu.py/facultades/ciencias-economicas-empresariales,200,1.47,74
9,https://www.uaa.edu.py/atencion-alumnos/,200,0.84,68
10,https://www.uaa.edu.py/documentos,200,0.8,66
11,https://www.uaa.edu.py/instalaciones,200,0.83,69
12,https://www.uaa.edu.py/la-universidad/autoridades,200,1.31,68
13,https://www.uaa.edu.py/acreditaciones,200,0.78,67
14,https://www.uaa.edu.py/organizacion,200,0.81,66
15,https://www.uaa.edu.py/contacto,200,0.78,66
16,https://www.uaa.edu.py,200,1.85,71
17,https://www.uaa.edu.py/la-universidad/contacto,404,0.57,68
18,https://www.uaa.edu.py/atencion-alumnos/contacto,404,0.56,68
19,https://www.uaa.edu.py/facultades/contacto,404,0.53,68
20,https://www.uaa.edu.py/noticias/contacto,404,0.56,68
21,https://www.uaa.edu.py/investigacion/proyectos,200,0.69,76
22,https://www.uaa.edu.py/investigacion/contacto,200,0.64,75
23,https://www.uaa.edu.py/la-universidad/historia,404,0.52,69
24,https://www.uaa.edu.py/facultades/ciencias-economicas-empresariales/contaduria,200,1.51,75
25,https://www.uaa.edu.py/facultades/ciencias-economicas-empresariales/contacto,200,1.51,74
26,https://www.uaa.edu.py/facultades/ciencias-salud/medicina,200,1.38,74
27,https://www.uaa.edu.py/facultades/ciencias-salud/contacto,200,1.23,73
28,https://www.uaa.edu.py/facultades/ciencias-tecnologias/ingenieria-informatica,200,1.29,75
29,https://www.uaa.edu.py/facultades/ciencias-tecnologias/contacto,200,1.29,74
30,https://www.uaa.edu.py/carreras,200,0.78,92
